Id,Name,Current_Location,Age,Past_Travel_Destinations,Number_of_Trips,Past_Travel_Destinations,Number_of_Trips,Flight_Number,Departure_City,Arrival_City,Flight_Date
,,,,,,,,V8907,Pittsburgh,Santa Fe,2024-07-16
,,,,,,,,F1642,Pittsburgh,Savannah,2023-10-22
,,,,,,,,R4904,Pittsburgh,San Diego,2023-03-09
589,Kyle Reyes,Charlotte,33,"Charlotte, Los Angeles, Atlanta",3,"Charlotte, Los Angeles, Atlanta",3,J1275,Charlotte,Charlotte,2022-12-22
,,,,,,,,Q6152,Charlotte,Los Angeles,2024-09-28
,,,,,,,,L3581,Charlotte,Atlanta,2024-01-01
759,Kathy Davidson,San Diego,41,New York,1,New York,1,T3325,San Diego,New York,2024-01-01
727,Rachel Johnson,St. Petersburg,50,"Reykjavik, Vienna, Marseille, Prague, Dubrovnik",5,"Reykjavik, Vienna, Marseille, Prague, Dubrovnik",5,Z1062,St. Petersburg,Reykjavik,2023-05-14
,,,,,,,,Y5233,St. Petersburg,Vienna,2024-09-16
,,,,,,,,R4985,St. Petersburg,Marseille,2023-04-15
,,,,,,,,O4290,St. Petersburg,Prague,2024-04-17
,,,,,,,,A8888,St. Petersburg,Dubrovnik,2024-08-12
852,Robert Moore DVM,Indianapolis,20,"Los Angeles, Portland, Phoenix",3,"Los Angeles, Portland, Phoenix",3,W6684,Indianapolis,Los Angeles,2024-03-26
,,,,,,,,V7128,Indianapolis,Portland,2023-06-26
,,,,,,,,I8308,Indianapolis,Phoenix,2024-03-29
224,Jared Willis,Houston,26,San Antonio,1,San Antonio,1,J7469,Houston,San Antonio,2024-01-11
968,Bryce Gonzalez MD,Santa Fe,39,San Antonio,1,San Antonio,1,L8401,Santa Fe,San Antonio,2023-02-24
203,Brittany Singh,Milan,41,Philadelphia,1,Philadelphia,1,V8471,Milan,Philadelphia,2023-05-02
676,George Jones,Las Vegas,51,"Los Angeles, Denver",2,"Los Angeles, Denver",2,J5522,Las Vegas,Los Angeles,2023-02-06
,,,,,,,,N3065,Las Vegas,Denver,2023-06-10
7,Kevin Lee,Nice,39,Nice,1,Nice,1,R8133,Nice,Nice,2024-07-25
295,Amanda Johnson,Seattle,31,"Kansas City, New York",2,"Kansas City, New York",2,B8350,Seattle,Kansas City,2024-05-28
,,,,,,,,H5102,Seattle,New York,2023-09-12
62,Andrea Mitchell,Krakow,44,"Zurich, Lyon",2,"Zurich, Lyon",2,Y9202,Krakow,Zurich,2024-02-07
,,,,,,,,H2457,Krakow,Lyon,2023-01-14
122,Patrick Christian,Honolulu,31,Jacksonville,1,Jacksonville,1,J1226,Honolulu,Jacksonville,2022-12-29
319,Kathleen Fisher,St. Petersburg,31,"Paris, Krakow, London, Dubrovnik",4,"Paris, Krakow, London, Dubrovnik",4,I2896,St. Petersburg,Paris,2022-12-08
,,,,,,,,R9390,St. Petersburg,Krakow,2024-08-14
,,,,,,,,I4463,St. Petersburg,London,2024-05-15
,,,,,,,,A8507,St. Petersburg,Dubrovnik,2024-09-18
182,Margaret Hernandez,Berlin,70,"Philadelphia, Marseille",2,"Philadelphia, Marseille",2,V8033,Berlin,Philadelphia,2024-07-16
,,,,,,,,L3889,Berlin,Marseille,2023-03-19
998,Anthony Carr,Charleston,61,"Fort Lauderdale, Oklahoma City",2,"Fort Lauderdale, Oklahoma City",2,Z3198,Charleston,Fort Lauderdale,2024-03-22
,,,,,,,,I4753,Charleston,Oklahoma City,2024-09-01
394,Laura Bell,Moscow,38,Naples,1,Naples,1,H9964,Moscow,Naples,2024-03-06
446,Nicholas Alvarez,Denver,38,St. Louis,1,St. Louis,1,T7475,Denver,St. Louis,2023-01-04
76,Paul West,Portland,70,Washington,1,Washington,1,L1461,Portland,Washington,2023-11-01
67,Melissa Garcia,Minneapolis,39,"Kansas City, Los Angeles",2,"Kansas City, Los Angeles",2,N3013,Minneapolis,Kansas City,2024-06-05
,,,,,,,,X3771,Minneapolis,Los Angeles,2023-12-02
53,Stephen Matthews,Charlotte,47,"Sacramento, San Antonio",2,"Sacramento, San Antonio",2,D1574,Charlotte,Sacramento,2023-05-07
,,,,,,,,D1454,Charlotte,San Antonio,2023-08-27
729,David Bowers,Sedona,31,Minneapolis,1,Minneapolis,1,B3051,Sedona,Minneapolis,2024-06-22
344,Debbie Warren,Barcelona,42,"Lisbon, Luxembourg, Bologna",3,"Lisbon, Luxembourg, Bologna",3,J8001,Barcelona,Lisbon,2023-04-26
,,,,,,,,M6153,Barcelona,Luxembourg,2024-10-31
,,,,,,,,E6484,Barcelona,Bologna,2023-04-25
686,Marcus James,Warsaw,26,"Krakow, Reykjavik, Berlin, Athens",4,"Krakow, Reykjavik, Berlin, Athens",4,M7827,Warsaw,Krakow,2023-02-19
,,,,,,,,B4058,Warsaw,Reykjavik,2023-10-06
,,,,,,,,M5794,Warsaw,Berlin,2023-05-12
,,,,,,,,E7277,Warsaw,Athens,2023-10-22
796,Robin Taylor,Savannah,30,"St. Louis, San Diego, Providence",3,"St. Louis, San Diego, Providence",3,P3976,Savannah,St. Louis,2023-02-06
,,,,,,,,S6054,Savannah,San Diego,2023-04-24
,,,,,,,,X5600,Savannah,Providence,2024-02-29
18,Kimberly Crawford,Edinburgh,32,"Valencia, Barcelona",2,"Valencia, Barcelona",2,X6068,Edinburgh,Valencia,2023-11-13
,,,,,,,,U7738,Edinburgh,Barcelona,2024-06-10
30,Angela Rogers,Baltimore,50,"Tampa, Sacramento, San Antonio",3,"Tampa, Sacramento, San Antonio",3,V8521,Baltimore,Tampa,2024-10-20
,,,,,,,,Y3080,Baltimore,Sacramento,2023-01-07
,,,,,,,,B3345,Baltimore,San Antonio,2023-12-01
754,Michaela Oneill,Dallas,67,Las Vegas,1,Las Vegas,1,G6597,Dallas,Las Vegas,2023-08-21
974,Chelsea Lozano,Stockholm,67,"Naples, Zurich, Naples",3,"Naples, Zurich, Naples",3,U4466,Stockholm,Naples,2023-06-23
,,,,,,,,J2093,Stockholm,Zurich,2024-08-28
,,,,,,,,T6202,Stockholm,Naples,2023-01-25
427,Ryan Wolfe,Dubrovnik,66,"Helsinki, Munich, Helsinki, Stockholm",4,"Helsinki, Munich, Helsinki, Stockholm",4,T7292,Dubrovnik,Helsinki,2024-08-28
,,,,,,,,Q4875,Dubrovnik,Munich,2024-06-22
,,,,,,,,D4707,Dubrovnik,Helsinki,2023-07-27
,,,,,,,,X1023,Dubrovnik,Stockholm,2024-08-04
636,Anna Robinson,Edinburgh,63,"Bologna, Cincinnati",2,"Bologna, Cincinnati",2,R6845,Edinburgh,Bologna,2023-05-05
,,,,,,,,Q4289,Edinburgh,Cincinnati,2023-11-05
876,Ronald Brewer,Helsinki,49,"Malaga, Dublin, Prague, Ljubljana, Athens",5,"Malaga, Dublin, Prague, Ljubljana, Athens",5,J4021,Helsinki,Malaga,2023-05-27
,,,,,,,,Q2521,Helsinki,Dublin,2024-03-20
,,,,,,,,E7733,Helsinki,Prague,2023-10-25
,,,,,,,,T6257,Helsinki,Ljubljana,2024-08-16
,,,,,,,,T9235,Helsinki,Athens,2024-10-01
149,Ashley Williams,Baltimore,41,"Chicago, Jacksonville, Denver, Washington",4,"Chicago, Jacksonville, Denver, Washington",4,G5705,Baltimore,Chicago,2023-06-14
,,,,,,,,K2365,Baltimore,Jacksonville,2024-09-20
,,,,,,,,W1465,Baltimore,Denver,2023-05-19
,,,,,,,,W5845,Baltimore,Washington,2023-07-11
762,Stephen Contreras,Lisbon,24,"Salzburg, Dublin, Cologne, Copenhagen",4,"Salzburg, Dublin, Cologne, Copenhagen",4,I1707,Lisbon,Salzburg,2023-09-21
,,,,,,,,C2209,Lisbon,Dublin,2022-12-12
,,,,,,,,H3807,Lisbon,Cologne,2023-11-27
,,,,,,,,R8092,Lisbon,Copenhagen,2023-04-20
96,Abigail Hogan,Cincinnati,70,"Seattle, Seattle, Sacramento",3,"Seattle, Seattle, Sacramento",3,R1764,Cincinnati,Seattle,2023-01-16
,,,,,,,,R8331,Cincinnati,Seattle,2023-11-27
,,,,,,,,M6656,Cincinnati,Sacramento,2024-09-21
557,Alexa Morales,Sedona,56,Atlanta,1,Atlanta,1,C6271,Sedona,Atlanta,2023-11-29
618,Karen Fuentes,Budapest,73,Atlanta,1,Atlanta,1,M8930,Budapest,Atlanta,2024-08-24
106,Lindsey Ward,Warsaw,44,"Dublin, Copenhagen",2,"Dublin, Copenhagen",2,K7469,Warsaw,Dublin,2024-10-29
,,,,,,,,W5114,Warsaw,Copenhagen,2024-09-12
912,Joshua Nolan,Sedona,68,Oklahoma City,1,Oklahoma City,1,K2805,Sedona,Oklahoma City,2024-08-13
267,Wayne James,Reykjavik,61,"Tallinn, Nice, Tallinn, Asheville, Orlando",5,"Tallinn, Nice, Tallinn, Asheville, Orlando",5,L9412,Reykjavik,Tallinn,2023-10-20
,,,,,,,,I6939,Reykjavik,Nice,2023-10-14
,,,,,,,,J2457,Reykjavik,Tallinn,2024-08-06
,,,,,,,,Y8794,Reykjavik,Asheville,2024-03-16
,,,,,,,,I3063,Reykjavik,Orlando,2023-09-08
602,Debra Perez,Barcelona,49,"St. Petersburg, Brussels, Reykjavik, Savannah, St. Petersburg",5,"St. Petersburg, Brussels, Reykjavik, Savannah, St. Petersburg",5,F9985,Barcelona,St. Petersburg,2024-02-28
,,,,,,,,J2306,Barcelona,Brussels,2024-10-05
,,,,,,,,X5686,Barcelona,Reykjavik,2023-08-25
,,,,,,,,O6890,Barcelona,Savannah,2024-06-22
,,,,,,,,W9378,Barcelona,St. Petersburg,2024-02-03
633,Jeff Hensley,Krakow,74,"Vienna, Bratislava, Berlin",3,"Vienna, Bratislava, Berlin",3,D1873,Krakow,Vienna,2024-08-31
,,,,,,,,Z7755,Krakow,Bratislava,2024-08-12
,,,,,,,,E9749,Krakow,Berlin,2024-01-05
992,Willie Edwards,Istanbul,27,"Athens, Naples, Geneva, Porto",4,"Athens, Naples, Geneva, Porto",4,R7337,Istanbul,Athens,2023-11-23
,,,,,,,,B8913,Istanbul,Naples,2023-06-04
,,,,,,,,N1930,Istanbul,Geneva,2024-05-19
,,,,,,,,X8036,Istanbul,Porto,2023-03-05
920,Justin Mays,Luxembourg,48,Gothenburg,1,Gothenburg,1,K9667,Luxembourg,Gothenburg,2024-03-05
340,Jacqueline Sims,San Jose,73,"Las Vegas, San Jose, Kansas City, Richmond, Santa Fe",5,"Las Vegas, San Jose, Kansas City, Richmond, Santa Fe",5,S1489,San Jose,Las Vegas,2022-11-15
,,,,,,,,R9901,San Jose,San Jose,2023-05-23
,,,,,,,,T2175,San Jose,Kansas City,2023-10-23
,,,,,,,,W6454,San Jose,Richmond,2023-04-11
,,,,,,,,C6513,San Jose,Santa Fe,2022-11-09
369,Amy Barnett,St. Petersburg,75,"Nice, Indianapolis, Austin, Moscow, Salzburg",5,"Nice, Indianapolis, Austin, Moscow, Salzburg",5,G7516,St. Petersburg,Nice,2023-03-26
,,,,,,,,E5663,St. Petersburg,Indianapolis,2024-03-03
,,,,,,,,Z2076,St. Petersburg,Austin,2024-06-21
,,,,,,,,N5402,St. Petersburg,Moscow,2023-01-17
,,,,,,,,E5472,St. Petersburg,Salzburg,2023-03-29
313,Gabriella Maddox,Bordeaux,50,"Madrid, London, Malaga",3,"Madrid, London, Malaga",3,X2007,Bordeaux,Madrid,2024-02-09
,,,,,,,,O2886,Bordeaux,London,2023-04-27
,,,,,,,,Q3213,Bordeaux,Malaga,2023-08-31
216,Anthony Lee,Bergen,30,"Budapest, Marseille, Porto, Prague",4,"Budapest, Marseille, Porto, Prague",4,X5398,Bergen,Budapest,2023-03-17
,,,,,,,,Z8352,Bergen,Marseille,2023-12-31
,,,,,,,,E4763,Bergen,Porto,2024-09-17
,,,,,,,,B4046,Bergen,Prague,2024-08-30
848,Robert Patel,Nashville,71,"Phoenix, Cincinnati",2,"Phoenix, Cincinnati",2,B8016,Nashville,Phoenix,2024-03-20
,,,,,,,,K5760,Nashville,Cincinnati,2023-03-16
717,Allen Myers,Cincinnati,75,"Jacksonville, Kansas City, Baltimore",3,"Jacksonville, Kansas City, Baltimore",3,X6437,Cincinnati,Jacksonville,2023-12-27
,,,,,,,,K5350,Cincinnati,Kansas City,2023-01-15
,,,,,,,,B6477,Cincinnati,Baltimore,2024-02-02
107,Alexis Odom,Seattle,52,"Boston, Atlanta",2,"Boston, Atlanta",2,S1219,Seattle,Boston,2024-05-07
,,,,,,,,H7087,Seattle,Atlanta,2024-08-12
566,Christy Robertson,London,54,"Nice, Malaga",2,"Nice, Malaga",2,I2630,London,Nice,2024-03-30
,,,,,,,,T2407,London,Malaga,2023-05-25
158,Evan Harrison,Los Angeles,70,"Cincinnati, Charlotte",2,"Cincinnati, Charlotte",2,D6305,Los Angeles,Cincinnati,2024-08-04
,,,,,,,,I7332,Los Angeles,Charlotte,2023-04-15
189,Anthony Smith,Warsaw,65,"Geneva, Bologna, Marseille, Madrid, Venice",5,"Geneva, Bologna, Marseille, Madrid, Venice",5,U2241,Warsaw,Geneva,2023-01-26
,,,,,,,,V8289,Warsaw,Bologna,2023-06-15
,,,,,,,,E6838,Warsaw,Marseille,2023-12-03
,,,,,,,,E9704,Warsaw,Madrid,2023-09-14
,,,,,,,,R7174,Warsaw,Venice,2023-05-11
566,Jennifer Howell,Washington,20,Savannah,1,Savannah,1,T1641,Washington,Savannah,2024-06-27
602,Emily Torres,Milan,43,"Bratislava, Lyon, Naples, Florence, Bratislava",5,"Bratislava, Lyon, Naples, Florence, Bratislava",5,S3217,Milan,Bratislava,2024-10-12
,,,,,,,,C5878,Milan,Lyon,2023-10-21
,,,,,,,,I5100,Milan,Naples,2023-02-22
,,,,,,,,H3773,Milan,Florence,2024-10-04
,,,,,,,,Q4578,Milan,Bratislava,2022-11-20
580,Yvette Sanders,Austin,64,"Denver, Santa Fe, Cincinnati, Washington",4,"Denver, Santa Fe, Cincinnati, Washington",4,S5832,Austin,Denver,2023-08-31
,,,,,,,,P6317,Austin,Santa Fe,2023-09-30
,,,,,,,,R9242,Austin,Cincinnati,2024-08-19
,,,,,,,,K8970,Austin,Washington,2024-03-28
777,Troy Saunders,Santa Fe,75,Nashville,1,Nashville,1,S9934,Santa Fe,Nashville,2024-05-11
392,Alexis Edwards,Reykjavik,49,"Ljubljana, Tallinn, Stockholm, Vienna",4,"Ljubljana, Tallinn, Stockholm, Vienna",4,A9069,Reykjavik,Ljubljana,2024-01-06
,,,,,,,,J1068,Reykjavik,Tallinn,2024-04-09
,,,,,,,,Y7899,Reykjavik,Stockholm,2024-10-05
,,,,,,,,L6828,Reykjavik,Vienna,2024-04-03
478,Rebekah Brown,Honolulu,50,"Lyon, Las Vegas, Barcelona, Providence",4,"Lyon, Las Vegas, Barcelona, Providence",4,I3251,Honolulu,Lyon,2023-08-21
,,,,,,,,E6774,Honolulu,Las Vegas,2024-01-14
,,,,,,,,A1300,Honolulu,Barcelona,2024-01-22
,,,,,,,,A8724,Honolulu,Providence,2023-06-21
233,William Smith,Rome,32,"Vienna, Vienna, Tallinn, Lyon, Nice",5,"Vienna, Vienna, Tallinn, Lyon, Nice",5,O9881,Rome,Vienna,2024-10-21
,,,,,,,,O2362,Rome,Vienna,2024-02-25
,,,,,,,,Y5541,Rome,Tallinn,2024-05-01
,,,,,,,,P4215,Rome,Lyon,2023-02-22
,,,,,,,,L3362,Rome,Nice,2023-07-30
51,Mark Heath,Lyon,46,"Dubrovnik, Ljubljana, Dubrovnik, Venice, Barcelona",5,"Dubrovnik, Ljubljana, Dubrovnik, Venice, Barcelona",5,H7560,Lyon,Dubrovnik,2023-10-08
,,,,,,,,V6950,Lyon,Ljubljana,2023-02-14
,,,,,,,,X2105,Lyon,Dubrovnik,2024-10-24
,,,,,,,,N9506,Lyon,Venice,2024-11-01
,,,,,,,,Y5685,Lyon,Barcelona,2024-01-28
113,Hayley Sanders,Rome,33,"Athens, Edinburgh",2,"Athens, Edinburgh",2,P8477,Rome,Athens,2024-06-10
,,,,,,,,D5179,Rome,Edinburgh,2023-10-10
609,Todd Stone,Bordeaux,67,"London, Malaga, Barcelona, Berlin",4,"London, Malaga, Barcelona, Berlin",4,H6290,Bordeaux,London,2024-06-25
,,,,,,,,P5019,Bordeaux,Malaga,2023-05-24
,,,,,,,,K7774,Bordeaux,Barcelona,2023-05-25
,,,,,,,,R9625,Bordeaux,Berlin,2024-06-15
471,Erin Trevino,Berlin,60,"Dublin, Stockholm",2,"Dublin, Stockholm",2,R5693,Berlin,Dublin,2024-08-26
,,,,,,,,L5340,Berlin,Stockholm,2023-05-19
112,Kevin Clarke,Rome,73,"Vienna, Oslo",2,"Vienna, Oslo",2,W2459,Rome,Vienna,2024-04-25
,,,,,,,,G1049,Rome,Oslo,2024-01-21
118,Michael Jones,Reykjavik,37,Naples,1,Naples,1,U8992,Reykjavik,Naples,2023-05-12
117,Kyle Owen,Munich,58,"Warsaw, Oslo, Bordeaux",3,"Warsaw, Oslo, Bordeaux",3,S5967,Munich,Warsaw,2024-05-14
,,,,,,,,M3227,Munich,Oslo,2023-08-11
,,,,,,,,O7511,Munich,Bordeaux,2024-08-24
584,Steven Costa,Santa Fe,51,"San Antonio, Rome, Phoenix, San Diego, Philadelphia",5,"San Antonio, Rome, Phoenix, San Diego, Philadelphia",5,E4008,Santa Fe,San Antonio,2023-07-05
,,,,,,,,M5411,Santa Fe,Rome,2022-11-09
,,,,,,,,B8668,Santa Fe,Phoenix,2023-06-10
,,,,,,,,J8031,Santa Fe,San Diego,2022-11-20
,,,,,,,,F4912,Santa Fe,Philadelphia,2024-10-06
433,Robert Campbell,San Jose,72,"Denver, Vienna, Santa Fe, Baltimore, Portland",5,"Denver, Vienna, Santa Fe, Baltimore, Portland",5,N6068,San Jose,Denver,2023-01-30
,,,,,,,,W5846,San Jose,Vienna,2024-03-28
,,,,,,,,U2137,San Jose,Santa Fe,2023-12-31
,,,,,,,,X6061,San Jose,Baltimore,2022-12-22
,,,,,,,,N4438,San Jose,Portland,2024-10-21
170,Jessica Leonard,Gothenburg,65,"St. Petersburg, Brussels, Milan",3,"St. Petersburg, Brussels, Milan",3,U8061,Gothenburg,St. Petersburg,2023-12-05
,,,,,,,,E2314,Gothenburg,Brussels,2023-04-22
,,,,,,,,S3944,Gothenburg,Milan,2023-11-13
67,Jesus Casey,Indianapolis,38,"Denver, Denver, Phoenix",3,"Denver, Denver, Phoenix",3,A1874,Indianapolis,Denver,2023-04-09
,,,,,,,,S4834,Indianapolis,Denver,2022-11-09
,,,,,,,,A4981,Indianapolis,Phoenix,2023-01-21
177,Christopher Wilson,Istanbul,39,"Madrid, Rome, Luxembourg",3,"Madrid, Rome, Luxembourg",3,L6657,Istanbul,Madrid,2024-07-24
,,,,,,,,R7445,Istanbul,Rome,2022-12-05
,,,,,,,,F1544,Istanbul,Luxembourg,2024-01-09
62,Erica Wilkinson,Kansas City,44,"Baltimore, Jacksonville",2,"Baltimore, Jacksonville",2,I4148,Kansas City,Baltimore,2023-06-28
,,,,,,,,T7466,Kansas City,Jacksonville,2023-10-31
773,Shannon Reynolds,Edinburgh,48,"Brussels, Dubrovnik",2,"Brussels, Dubrovnik",2,W5322,Edinburgh,Brussels,2024-09-03
,,,,,,,,Q8074,Edinburgh,Dubrovnik,2024-08-26
824,Thomas Thompson,Houston,62,"Sacramento, New Orleans, Portland, Indianapolis, Sacramento",5,"Sacramento, New Orleans, Portland, Indianapolis, Sacramento",5,E9610,Houston,Sacramento,2023-08-19
,,,,,,,,W2171,Houston,New Orleans,2023-06-12
,,,,,,,,R4786,Houston,Portland,2023-11-15
,,,,,,,,T5536,Houston,Indianapolis,2023-04-03
,,,,,,,,T5120,Houston,Sacramento,2024-05-05
22,Jose Wang,Portland,53,"Tampa, Salt Lake City",2,"Tampa, Salt Lake City",2,U3281,Portland,Tampa,2023-05-25
,,,,,,,,V4609,Portland,Salt Lake City,2023-02-19
595,Rita Bennett,Berlin,71,"Valencia, Athens, Bergen",3,"Valencia, Athens, Bergen",3,Z5931,Berlin,Valencia,2023-07-26
,,,,,,,,D6729,Berlin,Athens,2023-07-16
,,,,,,,,T3107,Berlin,Bergen,2024-05-14
967,Barbara Moore,San Jose,63,"Los Angeles, Tampa, Phoenix",3,"Los Angeles, Tampa, Phoenix",3,L7287,San Jose,Los Angeles,2024-06-02
,,,,,,,,H6052,San Jose,Tampa,2024-01-29
,,,,,,,,M3892,San Jose,Phoenix,2023-08-03
852,Lynn Watson,Porto,23,"Rome, Reykjavik, Gothenburg",3,"Rome, Reykjavik, Gothenburg",3,Z3414,Porto,Rome,2024-05-18
,,,,,,,,B5108,Porto,Reykjavik,2023-01-21
,,,,,,,,Y8054,Porto,Gothenburg,2024-10-20
471,Melody Cummings,Milwaukee,67,"Baltimore, Denver, Miami",3,"Baltimore, Denver, Miami",3,M5773,Milwaukee,Baltimore,2022-11-13
,,,,,,,,Z5652,Milwaukee,Denver,2023-04-09
,,,,,,,,G9782,Milwaukee,Miami,2024-05-07
276,John Hall,Oslo,30,"Athens, Lyon, Geneva, Athens, Newport",5,"Athens, Lyon, Geneva, Athens, Newport",5,J2124,Oslo,Athens,2024-06-08
,,,,,,,,H2538,Oslo,Lyon,2022-12-24
,,,,,,,,T4116,Oslo,Geneva,2023-09-13
,,,,,,,,C3742,Oslo,Athens,2023-03-21
,,,,,,,,U1797,Oslo,Newport,2024-10-11
23,Heather Williams,Athens,36,"Baltimore, Helsinki",2,"Baltimore, Helsinki",2,P1382,Athens,Baltimore,2022-12-17
,,,,,,,,Z4647,Athens,Helsinki,2024-08-06
261,Kelly Johnson,Oklahoma City,55,"Oklahoma City, Fort Lauderdale, New Orleans, Los Angeles, New Orleans",5,"Oklahoma City, Fort Lauderdale, New Orleans, Los Angeles, New Orleans",5,V5132,Oklahoma City,Oklahoma City,2023-02-11
,,,,,,,,M5397,Oklahoma City,Fort Lauderdale,2024-02-29
,,,,,,,,Y8688,Oklahoma City,New Orleans,2024-07-27
,,,,,,,,T1691,Oklahoma City,Los Angeles,2024-09-01
,,,,,,,,F8162,Oklahoma City,New Orleans,2023-07-06
817,Monica Coleman,Tampa,72,"New York, San Francisco, Houston, Tampa, St. Louis",5,"New York, San Francisco, Houston, Tampa, St. Louis",5,Z7187,Tampa,New York,2024-05-22
,,,,,,,,U8505,Tampa,San Francisco,2024-10-14
,,,,,,,,J2212,Tampa,Houston,2024-04-15
,,,,,,,,A8309,Tampa,Tampa,2023-06-18
,,,,,,,,N6378,Tampa,St. Louis,2023-04-11
774,Isaiah Aguirre,Boston,25,"Santa Fe, Pittsburgh, Houston, Marseille, San Diego",5,"Santa Fe, Pittsburgh, Houston, Marseille, San Diego",5,F3822,Boston,Santa Fe,2024-01-05
,,,,,,,,D5528,Boston,Pittsburgh,2023-12-10
,,,,,,,,I3771,Boston,Houston,2024-08-29
,,,,,,,,E4866,Boston,Marseille,2024-08-02
,,,,,,,,E5946,Boston,San Diego,2023-02-04
122,Tom Nichols,London,61,"Milan, Athens, Munich",3,"Milan, Athens, Munich",3,I9803,London,Milan,2023-08-20
,,,,,,,,I5879,London,Athens,2023-05-19
,,,,,,,,H9596,London,Munich,2023-11-14
58,Jay White,Boston,70,"Sedona, Phoenix, Chicago, San Francisco",4,"Sedona, Phoenix, Chicago, San Francisco",4,L6106,Boston,Sedona,2023-01-28
,,,,,,,,E8246,Boston,Phoenix,2024-02-11
,,,,,,,,Y3638,Boston,Chicago,2024-07-03
,,,,,,,,G5778,Boston,San Francisco,2024-06-05
797,John Wong,St. Louis,44,"Denver, Kansas City, Barcelona, Dallas, Jacksonville",5,"Denver, Kansas City, Barcelona, Dallas, Jacksonville",5,Z3379,St. Louis,Denver,2023-09-17
,,,,,,,,D5201,St. Louis,Kansas City,2024-05-13
,,,,,,,,F3914,St. Louis,Barcelona,2024-08-30
,,,,,,,,F8407,St. Louis,Dallas,2022-11-26
,,,,,,,,D1587,St. Louis,Jacksonville,2024-06-27
584,Michael Davis,Madrid,44,Berlin,1,Berlin,1,Z1303,Madrid,Berlin,2023-10-11
988,Catherine Mata,Newport,20,Honolulu,1,Honolulu,1,Y6764,Newport,Honolulu,2024-03-28
948,Dennis Mckee,Brussels,67,"Bratislava, St. Petersburg",2,"Bratislava, St. Petersburg",2,X5646,Brussels,Bratislava,2024-10-22
,,,,,,,,H2887,Brussels,St. Petersburg,2023-01-20
286,Laurie Garza,Chicago,27,Atlanta,1,Atlanta,1,W5635,Chicago,Atlanta,2024-08-22
6,Lynn Gonzales,Stockholm,47,"Gothenburg, Valencia",2,"Gothenburg, Valencia",2,T8551,Stockholm,Gothenburg,2022-12-19
,,,,,,,,B6649,Stockholm,Valencia,2024-06-04
602,Rebecca Morgan,Florence,18,"Malaga, Gothenburg",2,"Malaga, Gothenburg",2,C7662,Florence,Malaga,2024-09-14
,,,,,,,,Z3371,Florence,Gothenburg,2023-01-09
619,Charles Frazier,Edinburgh,68,"Munich, Savannah, Naples, Florence",4,"Munich, Savannah, Naples, Florence",4,Z2553,Edinburgh,Munich,2023-09-12
,,,,,,,,J5408,Edinburgh,Savannah,2024-06-15
,,,,,,,,D9087,Edinburgh,Naples,2023-08-01
,,,,,,,,H3011,Edinburgh,Florence,2024-09-25
268,Kelly Griffith,Zurich,62,"Prague, Venice, Cologne, Brussels",4,"Prague, Venice, Cologne, Brussels",4,X8757,Zurich,Prague,2022-11-19
,,,,,,,,A5950,Zurich,Venice,2024-02-05
,,,,,,,,T5932,Zurich,Cologne,2023-12-07
,,,,,,,,N9163,Zurich,Brussels,2024-05-08
457,Robert Cortez,Berlin,32,"Milan, Budapest, Salzburg, Athens, Amsterdam",5,"Milan, Budapest, Salzburg, Athens, Amsterdam",5,L7663,Berlin,Milan,2023-07-07
,,,,,,,,L9762,Berlin,Budapest,2023-05-04
,,,,,,,,P9487,Berlin,Salzburg,2024-02-29
,,,,,,,,X2933,Berlin,Athens,2023-03-18
,,,,,,,,Q6517,Berlin,Amsterdam,2024-09-22
945,Tiffany Ford,Richmond,69,"Houston, Asheville, New Orleans, Minneapolis, New Orleans",5,"Houston, Asheville, New Orleans, Minneapolis, New Orleans",5,V8754,Richmond,Houston,2024-01-25
,,,,,,,,Y5551,Richmond,Asheville,2023-04-01
,,,,,,,,B2724,Richmond,New Orleans,2024-07-17
,,,,,,,,K7817,Richmond,Minneapolis,2024-06-20
,,,,,,,,F5254,Richmond,New Orleans,2024-03-01
472,David Salas,Venice,42,"Edinburgh, Florence, Madrid",3,"Edinburgh, Florence, Madrid",3,U6706,Venice,Edinburgh,2024-02-13
,,,,,,,,A6030,Venice,Florence,2024-03-13
,,,,,,,,M6601,Venice,Madrid,2024-09-24
862,Katie Novak,Helsinki,53,"Cologne, Valencia, Prague, Paris, St. Petersburg",5,"Cologne, Valencia, Prague, Paris, St. Petersburg",5,G9089,Helsinki,Cologne,2024-04-17
,,,,,,,,J2541,Helsinki,Valencia,2022-12-26
,,,,,,,,Z7033,Helsinki,Prague,2024-05-01
,,,,,,,,G7902,Helsinki,Paris,2024-02-15
,,,,,,,,J7465,Helsinki,St. Petersburg,2024-02-26
